,CompleteInfo?,UUID,Multipack?,Order,AlphaTitle,IMDBLink,DisplayTitle,Year,Rating,RunTime,Director,Starring,Genres,Tags,Formats,Synopsis,ImageLink,Ra Too?
Amanda,,,,,Assassination of Jessie James by the Coward Robert Ford,https://www.imdb.com/title/,Assassination of Jessie James by the Coward Robert Ford,,,,,,, ,,, ,
Amanda,,tt0499549,,,Avatar,https://www.imdb.com/title/tt0499549,Avatar,2009,PG-13,2:42,James Cameron,"Sam Worthington, Zoe Saldana","Action, Adventure, Fantasy", ,D,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home., ,
Amanda,Y,tt0118661,,,Avengers,https://www.imdb.com/title/tt0118661,The Avengers,1998,PG-13,1:29,Jeremiah S. Chechik,"Ralph Fiennes, Uma Thurman, Sean Connery","Action, Adventure, Sci-Fi, Thriller", ,,Two British Agents team up to stop Sir August de Wynter from destroying the world with a weather-changing machine., ,
Amanda,Y,tt0370263,,,AVP,https://www.imdb.com/title/tt0370263,Alien vs. Predator,2004,PG-13,1:41,Paul W.S. Anderson,"Sanaa Lathan, Lance Henriksen, Raoul Bova, Ewen Bremner","Action, Adventure, Horror, Sci-Fi, Thriller", ,,"During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.", ,
Amanda,,,,,AVP: Requiem,https://www.imdb.com/title/,AVP: Requiem,,,,,,, ,,, ,
Amanda,,,,,Babylon AD,https://www.imdb.com/title/,Babylon AD,,,,,,, ,,, ,
Amanda,,tt0112442,,,Bad Boys,https://www.imdb.com/title/tt0112442,Bad Boys,1995,R,1:59,Michael Bay,"Will Smith, Martin Lawrence","Action, Comedy, Crime", ,D,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct., ,
Amanda,,tt0172156,,,Bad Boys II,https://www.imdb.com/title/tt0172156,Bad Boys II,2003,R,2:27,Michael Bay,"Will Smith, Martin Lawrence","Action, Comedy, Crime", ,D,Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel., ,
Amanda,,,,,Bad Teacher,https://www.imdb.com/title/,Bad Teacher,,,,,,, ,,, ,
Amanda,,tt0814022,,,Bangkok Dangerous,https://www.imdb.com/title/tt0814022,Bangkok Dangerous,2008,R,1:39,"Danny Pang, Oxide Chun Pang","Nicolas Cage, Charlie Yeung","Action, Crime, Thriller", ,,A hitman who's in Bangkok to pull off a series of jobs violates his personal code when he falls for a local woman and bonds with his errand boy., ,
Amanda,,tt0118688,,,Batman and Robin,https://www.imdb.com/title/tt0118688,Batman and Robin,1997,PG-13,2:05,Joel Schumacher,"Arnold Schwarzenegger, George Clooney","Action, Sci-Fi", ,D,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City., ,
Amanda,,tt0372784,,,Batman Begins,https://www.imdb.com/title/tt0372784,Batman Begins,2005,PG-13,2:20,Christopher Nolan,"Christian Bale, Michael Caine","Action, Crime, Drama", ,,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.", ,
Amanda,,tt0112462,,,Batman Forever,https://www.imdb.com/title/tt0112462,Batman Forever,1995,PG-13,2:01,Joel Schumacher,"Val Kilmer, Tommy Lee Jones","Action, Adventure", ,,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.", ,
Amanda,,tt1152398,,,Beastly,https://www.imdb.com/title/tt1152398,Beastly,2011,PG-13,1:26,Daniel Barnz,"Vanessa Hudgens, Alex Pettyfer","Drama, Fantasy, Romance", ,D,"A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.", ,
